Name,Location,Number_Players,Number_Of_Wins,League_Name
Bayern Munich,,,117,Bundesliga
Schalke 04,,,10,Bundesliga
Ein Frankfurt,,,67,Bundesliga
Bielefeld,,,14,Bundesliga
FC Koln,,,37,Bundesliga
Hoffenheim,,,54,Bundesliga
Stuttgart,,,63,Bundesliga
Freiburg,,,71,Bundesliga
Union Berlin,,,65,Bundesliga
Augsburg,,,50,Bundesliga
Werder Bremen,,,42,Bundesliga
Hertha,,,24,Bundesliga
Dortmund,,,99,Bundesliga
M'gladbach,,,56,Bundesliga
RB Leipzig,,,88,Bundesliga
Mainz,,,56,Bundesliga
Wolfsburg,,,63,Bundesliga
Leverkusen,,,94,Bundesliga
Greuther Furth,,,3,Bundesliga
Bochum,,,35,Bundesliga
Heidenheim,,,18,Bundesliga
Darmstadt,,,3,Bundesliga
Holstein Kiel,Holstein-Stadion,,6,Bundesliga
St Pauli,,,8,Bundesliga
Eibar,,,6,La Liga
Celta,,,63,La Liga
Granada,,,25,La Liga
Ath Bilbao,,,77,La Liga
Cadiz,,,35,La Liga
Osasuna,,,62,La Liga
Alaves,,,39,La Liga
Betis,,,83,La Liga
Valladolid,,,20,La Liga
Sociedad,,,84,La Liga
Villarreal,,,84,La Liga
Huesca,,,7,La Liga
Valencia,,,56,La Liga
Levante,,,17,La Liga
Getafe,,,48,La Liga
Real Madrid,,,130,La Liga
Elche,,,24,La Liga
Ath Madrid,,,116,La Liga
Sevilla,,,75,La Liga
Barcelona,,,127,La Liga
Mallorca,,,45,La Liga
Espanol,,,29,La Liga
Vallecano,,,45,La Liga
Girona,,,49,La Liga
Almeria,,,14,La Liga
Las Palmas,,,18,La Liga
Leganes,,,9,La Liga
Bordeaux,,,19,Ligue 1
Nantes,,,48,Ligue 1
Dijon,,,4,Ligue 1
Angers,,,36,Ligue 1
Lille,,,90,Ligue 1
Rennes,,,82,Ligue 1
Monaco,,,101,Ligue 1
Reims,,,53,Ligue 1
Lorient,,,41,Ligue 1
Strasbourg,,,63,Ligue 1
Nimes,,,9,Ligue 1
Brest,,,67,Ligue 1
Nice,,,82,Ligue 1
Lens,,,86,Ligue 1
Lyon,,,90,Ligue 1
Montpellier,,,55,Ligue 1
Metz,,,26,Ligue 1
St Etienne,,,27,Ligue 1
Marseille,,,92,Ligue 1
Paris SG,,,127,Ligue 1
Troyes,,,13,Ligue 1
Clermont,,,31,Ligue 1
Ajaccio,,,7,Ligue 1
Toulouse,,,35,Ligue 1
Auxerre,,,19,Ligue 1
Le Havre,,,17,Ligue 1
Fulham,,,48,Premier League
Arsenal,,,114,Premier League
Crystal Palace,,,60,Premier League
Southampton,,,29,Premier League
Liverpool,,,116,Premier League
Leeds,,,34,Premier League
West Ham,,,71,Premier League
Newcastle,,,82,Premier League
West Brom,,,5,Premier League
Leicester,,,49,Premier League
Tottenham,,,89,Premier League
Everton,,,60,Premier League
Brighton,,,67,Premier League
Chelsea,,,89,Premier League
Sheffield United,Bramall Lane,,10,Premier League
Wolves,,,63,Premier League
Man United,,,89,Premier League
Burnley,,,22,Premier League
Aston Villa,,,86,Premier League
Man City,,,133,Premier League
Brentford,,,54,Premier League
Watford,,,6,Premier League
Norwich,,,5,Premier League
Bournemouth,,,39,Premier League
Nott'm Forest,,,37,Premier League
Luton,,,6,Premier League
Ipswich,,,4,Premier League
Fiorentina,,,79,Serie A
Torino,,,57,Serie A
Verona,,,50,Serie A
Roma,,,92,Serie A
Parma,,,10,Serie A
Napoli,,,113,Serie A
Genoa,,,36,Serie A
Crotone,,,6,Serie A
Sassuolo,,,49,Serie A
Cagliari,,,32,Serie A
Juventus,,,102,Serie A
Sampdoria,,,28,Serie A
Milan,,,110,Serie A
Bologna,,,70,Serie A
Atalanta,,,101,Serie A
Lazio,,,97,Serie A
Benevento,,,7,Serie A
Inter,,,129,Serie A
Spezia,,,25,Serie A
Udinese,,,50,Serie A
Empoli,,,35,Serie A
Salernitana,,,18,Serie A
Venezia,,,11,Serie A
Lecce,,,24,Serie A
Monza,,,28,Serie A
Cremonese,,,5,Serie A
Frosinone,,,8,Serie A
Como,,,13,Serie A
